[01/16/17 11:53:28] Server Open OK # Port:5000
[01/16/17 11:53:29] Frame : 25  Loop : 24895
[01/16/17 11:53:30] Frame : 25  Loop : 22900
[01/16/17 11:53:31] Frame : 25  Loop : 21424
[01/16/17 11:53:32] Connect Session # IP:127.0.0.1 / SessionID:1 
[01/16/17 11:53:32] Frame : 25  Loop : 21129
[01/16/17 11:53:33] Frame : 25  Loop : 19853
[01/16/17 11:53:34] Frame : 25  Loop : 18793
[01/16/17 11:53:35] Frame : 25  Loop : 20119
[01/16/17 11:53:35] Connect Session # IP:127.0.0.1 / SessionID:2 
[01/16/17 11:53:36] Frame : 25  Loop : 18043
[01/16/17 11:53:37] Frame : 25  Loop : 19497
[01/16/17 11:53:38] Frame : 25  Loop : 18098
[01/16/17 11:53:39] Frame : 25  Loop : 18659
[01/16/17 11:53:40] Frame : 25  Loop : 18855
[01/16/17 11:53:41] Frame : 25  Loop : 19104
[01/16/17 11:53:42] Frame : 25  Loop : 19168
[01/16/17 11:53:43] Frame : 25  Loop : 19322
[01/16/17 11:53:44] Connect Session # IP:127.0.0.1 / SessionID:3 
[01/16/17 11:53:44] Frame : 25  Loop : 18267
[01/16/17 11:53:45] Frame : 25  Loop : 19507
[01/16/17 11:53:46] Frame : 25  Loop : 18859
[01/16/17 11:53:47] Connect Session # IP:127.0.0.1 / SessionID:4 
[01/16/17 11:53:47] Frame : 25  Loop : 19205
[01/16/17 11:53:48] Frame : 25  Loop : 18269
[01/16/17 11:53:49] Frame : 25  Loop : 17246
[01/16/17 11:53:50] Frame : 25  Loop : 20514
[01/16/17 11:53:51] Frame : 26  Loop : 16106
[01/16/17 11:53:52] Frame : 25  Loop : 18860
[01/16/17 11:53:53] Frame : 25  Loop : 17398
[01/16/17 11:53:54] Frame : 25  Loop : 18066
[01/16/17 11:53:55] Frame : 25  Loop : 17896
[01/16/17 11:53:56] Frame : 25  Loop : 16716
[01/16/17 11:53:57] Frame : 25  Loop : 17947
[01/16/17 11:53:58] Frame : 25  Loop : 17850
[01/16/17 11:53:59] Frame : 25  Loop : 16999
[01/16/17 11:54:00] Frame : 25  Loop : 15534
[01/16/17 11:54:01] Frame : 25  Loop : 16607
[01/16/17 11:54:02] Frame : 25  Loop : 17423
[01/16/17 11:54:03] Frame : 25  Loop : 18133
[01/16/17 11:54:04] Frame : 25  Loop : 18120
